date	content
2017/1/23	SRC案件先驅SME效益提升。函○公司從事工業電腦設計及製造，營收維持1億元，負責人沈董為古亭分行房貸顧客，當有購置廠辦需求，第一時間向本行詢問貸款事宜，RMTeam展現積極度，配合總行新推出SRC徵審意見單制度，降低營業單位及審核單位溝通成本，以高效率擊敗台○銀競爭，三週內完成送案及不動產設定，預計農曆年前廠辦撥款2,160萬元並收取手續費2.5萬元。本次運用新上線SRC制度，成功爭取廠辦新戶，讓分行提早獲得策略加碼，相信未來以SRC制度，定能整合區域聯行，創造玉山最大獲利。
2017/1/23	發揮行銷能力彰顯服務價值。總○地產開發股份有限公司從事興建住宅開發出售業務，成立於1997年，近年建案保守穩健，財務槓桿小。公司於2016年10月購置位於臺中市東區2.3億元土地，預計興建獨棟住宅大樓，本次RMTeam經由環金組轉介拜訪財務長，順利爭取此次推案土建融融資，將於農曆年後對保，預估本案除放款增量3.33億元外，另搭配不動產開發信託可收取信託手續費133萬元。新戶透過MGM轉介可達事半功倍，感謝總行信託部協助，發揮團隊整合行銷力量，後續將藉由本行多元整合行銷加速與顧客整體往來黏著度。

2017/2/6	台中企金中小組：旭○公司為國內工具機數控分度盤及電腦車床刀塔專業製造商，2016年9月順利核貸BridgeLoan新臺幣2.6億元，經4個月的努力，藉由稅務小組及國際事務部的協助下持續不斷與公司財務課長討論架構及報價，順利解決公司對於結購售美元的問題，於年前完成BridgeLoan流程，並收取額度作業費新臺幣143萬元。本行雖非報價最低之銀行，但透過跨部處整合行銷，展現玉山銀行的專業及積極度，矢志成為顧客心目中的首選銀行。
2017/2/6	中心與分行合作，創造SME通路價值。侑○公司成立於2014年，主要業務為生活用品貿易，營收約1.6億元，主要進貨廠商以家樂福等大賣場為主，目前以永○銀行為其存匯往來銀行，行庫間並無授信往來，評估經營風格穩健，營運皆以自有資金支應，經復興分行轉介，積極爭取下，透過信保方式承作並於農曆年前撥款，收取15萬元額度作業費，亦使分行獲得SME揪團王25萬元策略加碼。透過分行轉介+企金勝利方程式，發揮1+1>2綜效，合計創造收入達40萬元以上，再次創造顧客、分行及企金三贏局面。
2017/2/6	攻擊可以得分，防守決定輸贏。加○公司於17/2因存款不足而產生退票，RMTeam於16/3得知公司財務惡化，於16/12全數收回本行現欠。公司員工於16/3告知本行，公司因資金短缺而未如期發放薪資，同時更改沖償本行出口O/A現欠之匯入帳號，RMTeam立即前往拜訪負責人。經瞭解公司因採購過多原料，且遭銷貨廠要求延遲出貨，導致公司產生資金短缺，公司亦有向民間融資情況。RM判斷公司財務已惡化，立即停止出口O/A額度，並要求銷貨款須持續匯入沖償O/A及中期現欠，並以將對公司寄送存證信函及對所有現欠視同到期，做為談判籌碼，最終順利收回現欠。經營顧客不僅須與負責人熟識，與財會人員亦需培養關係，進而掌握顧客最新經營狀況、控管風險，以確保本行債權無虞。
2017/2/13	高雄企金中小組：城○公司專營各式一級塑膠粒買賣，年進口量美金1,000~4,000萬元，為重點貿融客群。目前於本行外幣存款等值美金800萬元的人民幣存單，16年外幣存款貢獻毛利260萬元。今RMTeam藉年節拜會張董事長，公司屢屢讚賞玉山清新專業的企業文化，並對玉山長期扶植中小企業的決心相當肯定，在平時客我關係的用心經營下，張董也同意將他行外幣存款轉存本行，於日前已淨增加等值美金300萬元的人民幣。RMTeam將持續深耕優質貿融客群，積極掌握外幣存放款商機，創造獲利新曲線。
2017/2/13	發揮策略行銷綜效，推動深耕優質廠辦。利○投資公司，資本額1,800萬元，集團母公司信○聯合會計師事務所，主要從事中小企業稅務規劃等業務，為集團財務、投資操作公司，投資標的包括不動產與金融商品。目前與行庫間並無存款與授信往來，考量本案以台北市中心精華地段不動產做為十足擔保，融資成數約51%，且連保人財資歷佳，屬本行廠辦與優質企業主目標客群，期透過集團深耕，進行更多廠辦承作。本案經復興分行轉介，透過SRC與RMTeam積極爭取順利核准，撥款將使分行獲得廠辦10萬元策略加碼。透過分行轉介與企金(SRC、RMTeam)接球之團隊合作下，本組今年度已成功爭取2間信保新戶與3戶廠辦新戶，再次證明玉山團隊力量大，未來亦透過持續與聯行密切滾動，創造顧客、分行及企金之三贏局面。
2017/2/13	靈活整合業務，輕鬆提升獲利。隆○企業股份有限公司主要從事金屬沖壓製造加工，為本行外幣存款主要顧客，因公司主要收款幣別為美金，故於本行申請外幣存單擔保之台幣週轉金額度，本次考量公司表示貸款利率偏高，遂藉換單時機調整利率報價，並酌收額度作業費200萬元；且觀察公司負責人劉小姐帳上美金活期屬閒置資金，而目前美金匯率亦處於相對低點，故對保時亦提供美金計價6年期保單美年旺產品供其參考，最終亦順利成交年繳3萬美元儲蓄險，成功為分行創造手收約6萬元，後續將持續透過各個產品線之分進合擊，發掘各項商機，加深客我關係。
2017/2/20	新莊企金中小組：近期得知櫻○公司約有1,200萬元之資本支出，經本組及聯行密切溝通及持續追蹤，成功爭取往來，核貸廠辦新臺幣1,200萬元，並藉對保契機協同理專，分進合擊企業主理財，陳女士表示將申購本行基金新臺幣200萬元，為聯行帶來手收4萬元，並達成SME揪團王策略加碼10萬元。新戶為一切業務成長之動能，藉由團隊力量，共同服務優質客群，發揮一加一大於二之綜效。
2017/2/20	發揮團隊力量，成為跨境企業首選平台。F○Limited於2013年成立於英屬維京群島(BVI)，資本額美金5萬元，主要業務以一般投資為主，負責人夫婦對投資不動產有一定興趣，除國內逾10處房產外，於上海、日本、香港及美國亦有不動產投資，去年5月本行拜訪並介紹上海擔跨境貸專案，同意提供上海兩處不動產給予評估，本案經近10個月努力，於今年2月順利撥款美金200萬元，另有美金6萬元額度作業費，除對本組績效大幅提升，亦為分行帶來極大收益及放款利差，有賴於分行及企金各部門通力合作。本次順利活化顧客境外資產，創造資金活水，著實加深往來關係，未來將承作一定理財部位，達到客我雙贏碩果。
2017/2/20	掌握市場訊息，創造客我雙贏。高○公司(營收約3.2億元)為國內規模最大之汽車專用自行車攜車架及車頂架專業製造商，外銷比重達95%以上，主要與本行配合週轉金往來。近期因歐元部位之遠匯已陸續幣轉為美金，適逢美金兌台幣處於低檔盤整，故協同理專進行SWAP/AR及海外債協銷。本次承作美金50萬元，本行手收貢獻約新臺幣20萬元，並預計於三月承作剩餘美金50萬元之部位。發掘商機需仰賴RMTeam平時努力耕耘及例行性顧客關係維護，於顧客有需求時，立即為顧客提供解決辦法，贏得顧客信任，達成永續經營之目標。
2017/3/6	締造信保夥伴獎12連霸。英○瑞生醫公司(營收約2.0億元)本週RMTeam前往公司之「傷口照護產業文化館」開幕記者會。該文化館為新北市第一家以生技、傷口照護為主題之觀光工廠。負責人王董提到2018年營收將接近台幣10億元，目前在大陸、東南亞等國家已得到傷口敷料之銷售執照，未來營收成長可期，2019年計劃上市櫃。已爭取到公司信保額度3,000萬元由同業移轉至本行，另介紹本行亦有創投及玉證等服務，可一同協助公司邁向上市櫃之路。本次藉由推廣其他產品線之服務，綿密客我往來關係，提升大玉山之獲利與市場佔有率，達到一魚多吃之效。
2017/3/6	多元理財整合，發揮行銷綜效。富○公司1971年成立，實收資本額6,640萬元，主要從事OA辦公傢俱及復健器材助站器外銷業務，公司具有收外幣付台幣之匯率避險需求，過去RMTeam曾多次偕同TMO行銷KIKO、AR等匯率選擇權產品，然皆未成交。本次適逢新臺幣走升且SWAP點數飆高，RMTeam再次偕同TMO共同拜訪該公司楊總經理並推介SWAP產品，顧客對本行匯率分析及服務態度表示認同，隨即先以帳上14萬美元承做SWAP，並允諾後續外幣收款將陸續於本行承做SWAP。本案除TMU手收約7萬元外，SWAP交換之新臺幣將整合行銷予理專進行企業理財規劃。面對瞬息萬變的金融環境，惟有掌握當下情勢、把握機會，方能創造客我雙贏，為玉山創造最大價值。
2017/3/6	高雄企金中小組：龍○公司從事熱處理及高爾夫球頭加工，品質不錯。曾於陸、越二地設廠，海外收入美元為主且均匯往同業。惟近期台幣兌美元走強，公司帳上20~30萬美元有惜售心態。RM立即向公司建議動用1,500萬元額度，並爭取他行外存承作定存，除了增加外存利息外，並可避免出售在低點。所提方案即獲同意，有效解決顧客籌資問題，營業單位淨增1,500萬元SME餘額及二十萬外幣定存，面對跨境客群，若能提供完整方案，除了可以滿足公司國內需求外，並預先舖陳2017跨境商機，可謂一舉兩得。
2017/3/13	桃園企金中小組：振○公司從事面板加工清洗設備產銷，去年中旬開始接獲福建華○設備訂單，遂有週轉金需求，RMTeam即規劃合約貸款滿足其需求，收取作業費20萬。今年初隨著買方訂單持續追加至3,500萬人民幣，隨即與中心SRC討論並與公司進行條件溝通，配合法金處審核科長官專業指導，本週順利完成合約增貸至5,000萬並收取作業費75萬，再次滿足顧客需求。經營者十分感謝本行提供之服務，允諾本筆合約完工後會再增加本行理財往來，創造客我雙贏。未來小組將複製此一與SRC緊密合作模式，勇於開口，創造分行、企金及理財三贏。
2017/3/13	洞悉顧客需求，創造客我雙贏。青○公司主要產品為農藥及化學品貿易，集團成立超過50年，與本行往來多年，為授信及理財VVIP顧客，此次透過分行理專及RMTeam共同努力，掌握顧客原有蒙古債券部位即將到期，及短期閒置資金50萬美元，順利爭取下單德國商業銀行海外債20萬美元，手收約20萬元，再次證明玉山團隊力量大，未來將持續強化客我關係，深耕企業主理財。
2017/3/13	區域團結力量大，活動行銷效果好。康○集團從事化妝保養品產銷，旗下有多個自有品牌，為擴充產能及永續經營規劃，於2016年12月購買嘉義大埔美工業區土地興建廠房，RMTeam經過2~3年追蹤耕耘，感謝總行審核科在額度規劃上的支持，順利核給土建融額度6.46億元及關係企業商辦貸款0.57億元，RMTeam與區域主管鄭副總沙盤演練運用話術，成功收取額度作業費70.3萬元，並有機會贏得「SME新夥伴」策略加碼共160萬元，集團亦允諾未來金流、存款、薪轉等派生業務將陸續移轉至本行，發揮一魚多吃之綜效。
2017/3/20	桃園企金中大組：本週定○美金5,000萬元聯貸案順利簽約完成，本行第5次取得該集團聯貸主辦，顯見公司對於本行信任！曾董事長與公司黃董就經營理念進行交流，相談甚歡。歸納成功原因：(1)多次成功籌組公司聯貸，對本行深具信心；(2)與公司經營團隊關係良好，掌握keyman；(3)公司企業文化及願景與本行相近，認為玉山是長久往來的夥伴；(4)聯貸架構獲得公司認同。感謝各單位平日服務，點滴累積，再創本行品牌價值。
2017/3/20	高雄企金中大組：本週中心拜訪尚○余董事長，公司因計劃擴充產線而有購地需求，中心掌握消息第一時間，隨即約訪顧客，余董讚許本行積極態度，同意由本行提供服務，成功取得不動產買賣價金信託業務及土地融資金額4.5億元。此外，協同理專拜訪余董夫人，以資產配置、傳承為出發點，成功成交類全委新台幣5,000萬元，創造手收300萬元，以團隊力量，提供全方位服務，深耕顧客關係。
2017/3/20	城東企金中小組：M○JORWINNERLtd.公司資本額100萬美元，負責人為長○建設董事長之二媳婦蔡小姐，目的為稅務規劃及投資用，亦有會計師執照，於本行理財部位55萬美元因市場劇烈變化造成虧損達30萬美元，損失率達55%，中心資深協理即召集RMTeam與理專會議討論，立即前往說明商品現況與未來價格趨勢，蔡小姐頗有微詞，但主管同仁仍正面分析商品虧損原因、未來走向與替代方案，說明玉山對顧客理財虧損感同身受，經過多次討論並擬定合宜調整方案，蔡小姐最終感動並釋懷給予肯定，並於近期調整125萬美元的理財部位，更創造分行手收123萬元。此案例給團隊正面啟示，顧客虧損並不可怕而是一同解決且正面面對，面對問題，問題減半，秉持同理心最終一定能順利解決再次贏得信任與滿意。李文英
2017/3/20	深耕顧客關係，成功爭取承銷SPO主辦。和○為知名汽車零件製造商，配合公司營收成長，在RMTeam及總行建議下，辦理現金增資籌組資金，此次現增21億元由玉證主辦，預估將創造玉證收益700萬元；本案亦成功爭取代收及員工信貸業務，近一個月台幣活存增加8億元。此外，中心聯手玉證擴大服務，專業受肯定，獲公司2位高層股票由同業匯撥至玉證辦理「股票靈活貸」，已動撥2,400萬元。感謝各職系長官共同經營VIP顧客，各產品線與公司往來深度提昇，深化玉山於顧客心中的重要地位。
2017/3/20	感謝金控高層、台中企金鄭副總及同仁對承銷業務的全力協助及支持，和○現增案已於3/15(三)完成承銷抽籤，本次募集21億元，中籤率僅約0.9%，該案件係106年截至目前募資金額最大，中籤率亦為同規模中最低的，對玉山證券承銷部知名度及獲利貢獻創造極大價值。本次現增案繳款已收足完畢，新股即將於3/27(一)掛牌，本案件從爭取到承做過程，展現大玉山團隊合作精神及多元化專業服務，再次感謝中心及RMTeam的努力。
2017/3/20	深耕優質外匯顧客。恆○公司成立於1996年，實收資本額新臺幣5,500萬元，主要代理知名生活家電及健康用品，為本行重要存款與授信顧客。近期公司因有代理新產品之商機，有開發大筆國外信用狀之需求，在RMTeam積極聯繫下，最後公司選擇在本行開立信用狀120萬美元。本次透過企金中心前後台，以及RMTeam平日有溫度的服務，讓顧客一有需求即想到本行；掌握關鍵時刻，解決顧客的問題，才能持續創造玉山與顧客更高的價值。
2017/3/20	避免削價競爭，創造有價服務。銘○公司主要經營項目為水處理設備、清洗劑等製造買賣，近年營運狀況穩定，先前公司有意購買廠房以擴展業務，本行積極協助尋找標的，獲得顧客肯定，在決定購買台中工業區廠房時，立即通知本行進行評估作業，申請期間同業積極以低價利率條件與本行競爭，但在企金及消金合力出擊下，提供公司廠辦及負責人房貸整體服務規劃，並在總行快速審核協助下，終選擇本行承作，上個月已先動撥李董房貸2,415萬元，上週廠辦亦順利撥貸1.26億元，客我關係更加黏密，亦為本行企、消金業務攻下一城。
2017/3/27	台中企金中心：大○為全球市占16%專業羽絨產品製造商，並為知名品牌包括Burberry與Lativ代工。中心連續2年協助公司在玉山福利報提供銷售資訊，並掌握公司事業體分割訊息，收款將重新分流與安排。本週羽毛廠與成衣廠DBU完成台灣開戶，4家實質貿易公司於香港分行完成開戶，集團共匯入約110萬美元。本次結合CM團隊，有效率完成開戶與KYC，成功爭取跨境與金流業務往來。
2017/3/27	高雄企金中心：奇○主要經營散熱模組製造，生產基地在大陸深圳、東莞、武漢與台灣，與本行往來業務以AR為主，2016年集團毛利貢獻度2,793萬元。借戶因拓展新業務，增加與主要買方聯○往來，本行快速完成增貸，公司對本行的效率與服務深表認同，預計每年毛利可增加300萬元。RMTEAM將持續深耕，並追蹤該戶大陸保理業務與台灣玉證協銷業務，提升顧客價值。
2017/3/27	高雄企金中小組：新○有限公司主要從事醫材及美容耗材買賣。本次對保時與楠梓分行富仁經理及理專同仁一同拜會，相談後瞭解彭院長個人於大陸有醫學演講及醫療顧問收入，月收入人民幣20萬元，財資歷相當良好，對相關股債投資及國際匯市皆有一定了解，本行嗅出商機後立即提供海外債到期保本產品，賴於平時分行的維繫及法金的服務，彭院長相當滿意本行的積極度及專業度，當下同意承購美金100萬元，貢獻手收新臺幣100萬元。2017年是玉山25週年，「法金+分行+財富」共同攜手合作，以團隊力量發揮專職價值，幫助玉山邁向卓越，再攀高峰。主要資金調度行及薪轉行：玉山銀行，資金調度工具很便利。
2017/3/27	有效深耕大型集團企業。崴○主要業務以掃描器、多功能事務機等產品之ODM/OEM為主。顧客近年配合正○集團策略布局轉投資台○之星，中心去年領先同業規劃中期額度，現欠餘額3億元已由短期借款全數轉至中期放款。財務經理對於本行額度規劃與作業效率甚感滿意，於本月匯入人民幣1,000萬元並同意境外主要公司(A○CU)申請額度往來，目前已提供授信申請文件。因該OBU有實際接單、營運，後續將可爭取金流與外幣存款等業務，持續拓展優質顧客往來產品廣度。
2017/3/27	持續創造貿融顧客收益。公司從事鍍鋅鋼板裁剪加工，原料購自中○及新○鐵，為中心開狀顧客。2016年開狀金額為美金41萬元。2017年起多次與顧客聯繫，討論作業流程精進，掌握顧客開狀時程，並於農曆年後持續電訪跟催進度，自2月起陸續於本行開狀，第一季開狀金額已達美金66萬元。公司隨終端應用之產業景氣變化，開狀頻率將於第三季達高峰，後續RMTEAM亦將持續跟催，以貢獻本行開狀量及收益。另公司表示近期匯率走勢不明，中心建議可搭配遠匯以降低匯率風險，未來也會持續與TMO共同追蹤，成為公司穩定開狀及外幣兌換主力行。
2017/3/27	滿足顧客資金需求，擴展法金貿融服務。漢○股份有限公司(營收約12億元)成立於1986年實收資本額3,500萬元，主要銷售化學用藥、農藥等特用化學藥品，本戶為授信戶旭○MGM轉介，公司表示目前與興農(TCRI:5)接到每月50~75萬美元之訂單，有貿融額度之需求，本行規劃出口後融資額度(出口O/A)，不僅解決公司資金缺口，更能掌握公司穩定金流匯入，達成貿融實績，並持續往存款及企業主理財深耕。深耕舊戶讓顧客成?本行廣宣代言人，除傳達本行服務已獲得顧客認同，經由轉介新戶也反應出本行經營顧客的附加價值。
2017/3/27	運用信保基金，有效保障債權。明○半導體股份有限公司(營收約2.1億元)為一IC設計業者，雖2014年底始與本行往來，在RMTeam及分行共同經營下，現於本行外存部位約200萬美元，客我關係良好。本次因掌握公司營運週轉之需及近期美元走弱，顧客惜售手中美金部位因素，於年度續約時主動規劃中期信保額度，深獲顧客滿意，本週額度順利撥貸，挹注本行信保餘額1,000萬元。信保為法金重點業務之一，掌握顧客需求，在風險可控下，善用信保資源，除可滿足顧客需求兼顧本行債權外，亦可挹注本行信保業務持續成長。主要資金調度行及薪轉行：玉山銀行
2017/4/10	桃園企金中大組：中心去年底拜會財務楊副總，掌握公司今年Q2籌組聯貸商機，並協同聯貸科與公司討論資金規劃。3月底向公司報價之際，公司表示兆○銀行亦競爭報價，最終考量本行作業效率及過往配合密切，公司口頭允諾本月將簽署聯貸委任書與本行，預計籌組金額3,000萬美元。另本月向公司收取2016年主辦管理費新臺幣20萬元及AR保險手收8.8萬元，可挹注中心非利息收入成長。
2017/4/10	台南企金中大組：借戶為台○公司的馬來西亞廠，產品以界面活性劑為主，為中心承做海外信保案件，於上週順利撥貸100萬美元，並創造新臺幣20萬元匯兌收益，未來金流、存款也將陸續進入本行，此外公司安裝進階版企網銀，透過玉山完善的海外平台與國內完整串接，及時提供顧客多元服務，中心未來也將持續遵循總行政策，爭取外幣及跨境業務，共創客我價值。
2017/4/10	公司主從事女性包款及相關配件之設計買賣，為E○STPAK在台灣及中國之獨家代理商。公司為聯行與RMTeam共同陌生開發之店週戶，與本行無任何業務往來，透由多次電訪後終有拜會公司財務主管之機會，經洽談後了解公司雖與他行有業務配合，但效率不佳，時常拖延公司作業流程，RMTeam藉此提及本行E化平台可解決此問題，進而切入授信業務，透由本行法金專案行銷成功獲得財務主管認可，並成功建立業務往來，已於上週撥款新台幣4,682萬元，收取額設費新台幣27萬元，在跨職系分進合擊下為本行收益再下一城。主要資金調度行及薪轉行：永○銀行，公司成立就往來至今。
2017/4/10	善用信託專業及產品，創造法金價值。本週偕同信託部拜訪信○，洽談預售屋價金信託業務。公司近期在板橋標購土地，預計興建住宅大樓，因採預售方式，預收款需以信託方式由銀行做金資金控管，公司希望土建融及信託業務由同一家銀行服務，期間公司亦找多家同業評估，但公司考量與本行平日配合及雙方企業文化相近，公司傾向由本行承做。信託部同仁已向公司說明本行在不動產預售屋價金信託控管流程，並請顧客協助提供相關文件，後續RMTEAM將與信託部一同掌握。在中心的持續耕耘下，延伸法金業務廣度與深度，一次滿足顧客服務需求，同時擴大利收及手收。
2017/4/10	掌握匯率變化，提供解決方案。昭○為國內第二大汽車AM塑膠件廠商，隨著集團擴張，於年初安排總行長官協訪，今年與公司往來增溫，子公司亦陸續來行開戶，感謝CM小組高效率協助架設網銀，贏得公司讚賞。公司產品以出口為主，帳上美元資金部位大，近期台幣升值，RMTeam掌握公司惜售美元，惟仍有支付台幣貨款之需求，提供額度建議，於上週核可外幣存單質借台幣額度並完成撥貸，公司亦自他行匯入950萬美元。本週東莞分行亦進行常熟子公司額度送案，中心會結合團隊的力量，贏得顧客的掌聲。
2017/4/10	滿足顧客資金需求，擴展法金貿融服務。漢○股份有限公司(營收約12億元)成立於1986年實收資本額3,500萬元，主要銷售化學用藥、農藥等特用化學藥品，本戶為授信戶旭○MGM轉介，公司表示目前與興農(TCRI:5)接到每月50~75萬美元之訂單，有貿融額度之需求，本行規劃出口後融資額度(出口O/A)，不僅解決公司資金缺口，更能掌握公司穩定金流匯入，達成貿融實績，並持續往存款及企業主理財深耕。深耕舊戶讓顧客成?本行廣宣代言人，除傳達本行服務已獲得顧客認同，經由轉介新戶也反應出本行經營顧客的附加價值。
2017/4/10	運用信保基金，有效保障債權。明○半導體股份有限公司(營收約2.1億元)為一IC設計業者，雖2014年底始與本行往來，在RMTeam及分行共同經營下，現於本行外存部位約200萬美元，客我關係良好。本次因掌握公司營運週轉之需及近期美元走弱，顧客惜售手中美金部位因素，於年度續約時主動規劃中期信保額度，深獲顧客滿意，本週額度順利撥貸，挹注本行信保餘額1,000萬元。信保為法金重點業務之一，掌握顧客需求，在風險可控下，善用信保資源，除可滿足顧客需求兼顧本行債權外，亦可挹注本行信保業務持續成長。
2017/4/17	台中企金中心：美○為國內咖啡知名連鎖品牌，近年國內無資金需求，集團定調今年為美國展店年，上週美國子公司於本行完成OBU開戶，並申請額度600萬美元，有助於提高集團整體額度動用率。負責人妻弟為公司高階主管，個人於本行跨境平台配合佳，整體理財部位折合新台幣逾4,000萬元，本次順利以個人投資公司承購海外債15萬美元，貢獻手收20萬元。法金與分行合力漂亮出擊，未來將持續追蹤公司跨境需求及大股東理財商機。
2017/4/17	台南中心：台○以本行及兆○為主力銀行，本週將對馬來西亞子公司進行現金增資，公司第一時間致電本行詢問是否有馬幣匯兌業務，在國際事務部及時詢價下，RM迅速回應顧客報價與文件，公司讚賞本行效率與專業，隨即匯入美金75萬元兌換成馬幣，成功創造匯兌收益新台幣45萬元，中心透過長期深耕，已在顧客心中建立專業、服務佳的形象，未來將持續透過玉山的團隊合作，創造客我雙贏。
2017/4/17	鴻○公司公司為分行VVIP顧客所MGM之公司戶，RMTeam得知公司有商辦轉貸需求，遂積極爭取往來，過程中得知同業已爭取一段時間，故RMTeam展現效率，並感謝總行審核科的指導與協助，從爭取資料到撥款不逾3週，負責人對本行專業與效率感到肯定，除成功爭取案件承作，亦將金流及薪轉移至本行，本週順利撥款新台幣5,900萬元，並收取額度作業費24萬元，未來再動用信保額度，有效執行擔保+信保的SME經營策略。區域分行將結合RMTeam力量，持續複製成功案例，發揮玉山團隊力量，創造SME最大商機。
